ORF_ID	Best_Hit_ARO	ARO	Model_type	Drug Class	Resistance Mechanism	AMR Gene Family
BGI_PIG-048_GL0064449	lnuC	3002837	protein homolog model	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)
BGI_PIG-049_GL0034434	tetO	3000190	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
BGI_PIG-058_GL0113373	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
BGI_PIG-058_GL0180528	vanWG	3002965	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster
BGI_PIG-059_GL0180112	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
BGI_PIG-071_GL0128208	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_PIG-078_GL0207938	tetX	3000205	protein homolog model	glycylcycline; tetracycline antibiotic	antibiotic inactivation	tetracycline inactivation enzyme
BGI_PIG-079_GL0202056	tet(40)	3000567	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
BGI_PIG-087_GL0030530	tetM	3000186	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
BGI_PIG-093_GL0134402	tet(W/N/W)	3004442	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
BGI_PIG-094_GL0071201	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_PIG-098_GL0036286	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_PIG-098_GL0171858	aad(6)	3002628	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	ANT(6)
BGI_PIG-101_GL0111213	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
BGI_PIG-107_GL0048159	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_PIG-109_GL0021421	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
BGI_BHZ-10B_GL0027692	ErmQ	3000593	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
BGI_BHZ-10B_GL0041022	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
BGI_BHZ-10B_GL0076958	catP	3002686	protein homolog model	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
BGI_BHZ-10B_GL0081892	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
BGI_BHZ-10B_GL0125088	Vibrio anguillarum chloramphenicol acetyltransferase	3004460	protein homolog model	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
BGI_BHZ-10B_GL0127405	fexA	3002704	protein homolog model	phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
BGI_BHZ-10B_GL0136290	tetB(P)	3000195	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
BGI_BHZ-10B_GL0168606	rmtF	3002666	protein homolog model	aminoglycoside antibiotic	antibiotic target alteration	16S rRNA methyltransferase (G1405)
BGI_BHZ-10B_GL0190771	lsaE	3003206	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
BGI_BHZ-10B_GL0190801	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
BGI_BHZ-10B_GL0195926	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
BGI_BHZ-10B_GL0224346	optrA	3003746	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
BGI_BHZ-11B_GL0000546	H-NS	3000676	protein homolog model	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; cephamycin; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_BHZ-11B_GL0017426	AcrE	3000499	protein homolog model	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_BHZ-11B_GL0017427	AcrS	3000656	protein homolog model	fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_BHZ-11B_GL0058291	mdtF	3000796	protein homolog model	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_BHZ-11B_GL0058292	mdtE	3000795	protein homolog model	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_BHZ-11B_GL0070179	TolC	3000237	protein homolog model	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan; penem	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_BHZ-11B_GL0070199	bacA	3002986	protein homolog model	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins
BGI_BHZ-11B_GL0075949	eptA	3003576	protein homolog model	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase
BGI_BHZ-11B_GL0075975	mdtN	3003548	protein homolog model	nucleoside antibiotic; acridine dye	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
BGI_BHZ-11B_GL0075976	mdtO	3003549	protein homolog model	nucleoside antibiotic; acridine dye	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
BGI_BHZ-11B_GL0075977	mdtP	3003550	protein homolog model	nucleoside antibiotic; acridine dye	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
BGI_BHZ-11B_GL0079103	cpxA	3000830	protein homolog model	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_BHZ-11B_GL0094883	YojI	3003952	protein homolog model	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump
BGI_BHZ-11B_GL0099534	OXA-61	3001773	protein homolog model	cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase
BGI_BHZ-11B_GL0104484	baeR	3000828	protein homolog model	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_BHZ-11B_GL0112882	mdtG	3001329	protein homolog model	fosfomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
BGI_BHZ-11B_GL0148309	kdpE	3003841	protein homolog model	aminoglycoside antibiotic	antibiotic efflux	kdpDE
BGI_BHZ-11B_GL0162811	msbA	3003950	protein homolog model	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump
BGI_BHZ-11B_GL0168423	evgS	3000833	protein homolog model	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_BHZ-11B_GL0168424	evgA	3000832	protein homolog model	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_BHZ-11B_GL0168425	emrK	3000206	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
BGI_BHZ-11B_GL0168585	Escherichia coli acrA	3004043	protein homolog model	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_BHZ-11B_GL0168586	acrB	3000216	protein homolog model	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_BHZ-11B_GL0168675	Escherichia coli ampH beta-lactamase	3004612	protein homolog model	cephalosporin; penam	antibiotic inactivation	ampC-type beta-lactamase
BGI_BHZ-11B_GL0194137	ugd	3003577	protein homolog model	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase
BGI_BHZ-11B_GL0195687	acrD	3000491	protein homolog model	aminoglycoside antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_BHZ-11B_GL0234583	emrA	3000027	protein homolog model	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
BGI_BHZ-11B_GL0234584	emrR	3000516	protein homolog model	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
BGI_BHZ-11B_GL0254501	Klebsiella pneumoniae KpnF	3004583	protein homolog model	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
BGI_BHZ-11B_GL0254502	Klebsiella pneumoniae KpnE	3004580	protein homolog model	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
BGI_BHZ-1B_GL0120076	tet(W/N/W)	3004442	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
BGI_BHZ-1B_GL0127126	tet(45)	3003196	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
BGI_BHZ-1B_GL0158290	ANT(6)-Ib	3002629	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	ANT(6)
BGI_BHZ-2B_GL0001468	mdtB	3000793	protein homolog model	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_BHZ-2B_GL0068597	ErmF	3000498	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
BGI_BHZ-2B_GL0139168	ANT(6)-Ia	3002626	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	ANT(6)
BGI_BMZ-11B_GL0025434	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_BMZ-11B_GL0040683	APH(3')-IIIa	3002647	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(3')
BGI_BMZ-11B_GL0072685	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_BMZ-16B_GL0178060	Streptococcus suis chloramphenicol acetyltransferase	3004455	protein homolog model	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
BGI_BMZ-17B_GL0149331	tetA(P)	3000180	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
BGI_BMZ-2B_GL0004227	EreD	3004608	protein homolog model	macrolide antibiotic	antibiotic inactivation	macrolide esterase
BGI_BMZ-3B_GL0013616	tet(44)	3000556	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
BGI_BMZ-4B_GL0084784	ANT(6)-Ia	3002626	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	ANT(6)
BGI_DB-11B_GL0064789	sul3	3000413	protein homolog model	sulfonamide antibiotic	antibiotic target replacement	sulfonamide resistant sul
BGI_DB-511B_GL0049853	cmx	3002703	protein homolog model	phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
BGI_DB-512B_GL0087549	cmlA5	3002695	protein homolog model	phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
BGI_DB-512B_GL0100242	tetB(P)	3000195	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
BGI_DB-512B_GL0157889	dfrA12	3002858	protein homolog model	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr
BGI_DB-512B_GL0201628	qacH	3003836	protein homolog model	fluoroquinolone antibiotic	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump
BGI_DB-517B_GL0136874	sul1	3000410	protein homolog model	sulfonamide antibiotic	antibiotic target replacement	sulfonamide resistant sul
BGI_DB-529B_GL0092649	tet(B)	3000166	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
BGI_DB-529B_GL0154215	QnrS1	3002790	protein homolog model	fluoroquinolone antibiotic	antibiotic target protection	quinolone resistance protein (qnr)
BGI_DB-529B_GL0179587	Erm(47)	3003908	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
BGI_DB-529B_GL0229398	tetT	3000193	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
BGI_EYZ-183B_GL0099942	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
BGI_EYZ-353B_GL0237175	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_EYZ-362B_GL0152612	catS	3002688	protein homolog model	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
BGI_EYZ-611B_GL0025750	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
BGI_EYZ-652B_GL0124174	tet(33)	3000478	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
BGI_EYZ-652B_GL0169725	cfrA	3003441	protein homolog model	lincosamide antibiotic; streptogramin antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target alteration	Cfr 23S ribosomal RNA methyltransferase
BGI_EYZ-652B_GL0242096	AAC(6')-Im	3004629	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')
BGI_ZXZ-1B_GL0094729	Vibrio anguillarum chloramphenicol acetyltransferase	3004460	protein homolog model	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
BGI_ZXZ-1B_GL0150103	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
C4936_4777_1	msrA	3000251	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
C4936_6399_3	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
C4936_7345_2	tetS	3000192	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
C4936_30800_3	mphB	3000318	protein homolog model	macrolide antibiotic	antibiotic inactivation	macrolide phosphotransferase (MPH)
C4936_55470_4	gadX	3000508	protein homolog model	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
C4936_57063_13	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
C4936_59829_6	Escherichia coli ampC1 beta-lactamase	3004611	protein homolog model	cephalosporin; penam	antibiotic inactivation	ampC-type beta-lactamase
C4936_64306_1	vgaC	3002831	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
C4936_71450_1	catB3	3002676	protein homolog model	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
